Wall time;Step;Value
1736589318.0613863;31300;0,000158609
1736589320.2393677;31400;0,000252758
1736589321.3593903;31500;0,000653522
1736589322.4133496;31600;0,00359486
1736589323.2040699;31700;0,000598455
1736589324.2830505;31800;0,002008346
1736589325.9535716;31900;0,000311168
1736589326.9174497;32000;0,00180028
1736589327.6591253;32100;0,00023153
1736589328.5849726;32200;0,005808861
1736589330.0402956;32300;0,000230356
1736589330.6888847;32400;0,001942532
1736589331.193344;32500;0,000586497
1736589332.5525827;32600;0,00211161
1736589333.3232827;32700;0,000502255
1736589334.2791538;32800;0,000311577
1736589335.293082;32900;0,000286426
1736589337.3409421;33000;4,68E-05
1736589338.088626;33100;0,00051517
1736589338.9924462;33200;0,001283559
1736589340.0864449;33300;0,000107334
1736589341.9201124;33400;0,005734558
1736589342.8849914;33500;0,000408086
1736589343.7928224;33600;0,000176808
1736589344.8778052;33700;0,000816614
1736589346.1639793;33800;0,001075851
1736589347.357064;33900;0,00179361
1736589348.5431442;34000;0,00123452
1736589349.2828186;34100;0,003245043
1736589350.4959307;34200;0,00568811
1736589351.4828205;34300;0,000611545
1736589352.4977472;34400;0,000904381
1736589353.296473;34500;0,003136912
1736589354.274363;34600;0,000979256
1736589355.3843749;34700;0,00082106
1736589356.5724576;34800;0,000486355
1736589357.5033057;34900;0,000571919
1736589358.58129;35000;0,002051812
1736589359.3399758;35100;0,000550712
1736589360.385929;35200;0,000245069
1736589362.5488987;35300;0,000715564
1736589363.9331596;35400;0,001144323
1736589365.1602778;35500;0,001673915
1736589366.0040455;35600;0,001034407
1736589366.6886716;35700;0,000912362
1736589367.4803903;35800;0,001014392
1736589368.3832119;35900;0,000650376
1736589368.940722;36000;0,00126432
1736589370.2008686;36100;0,00488939
1736589371.4259837;36200;0,000354034
1736589372.74018;36300;0,000307756
1736589373.4798539;36400;0,000469231
1736589374.294601;36500;0,000620247
1736589375.3775868;36600;0,000848815
1736589376.1793134;36700;0,000462586
1736589377.440462;36800;0,000207187
1736589378.3352754;36900;0,000792429
1736589379.2671242;37000;0,000660871
1736589380.1419225;37100;0,000125928
1736589381.3510218;37200;0,000434186
1736589383.445938;37300;0,004550707
1736589384.4068055;37400;0,000377399
1736589385.1985278;37500;0,001016996
1736589385.7820625;37600;0,000581177
1736589386.657855;37700;0,000595108
1736589387.2353835;37800;0,000912232
1736589388.814821;37900;0,002007548
1736589389.8057213;38000;0,001531738
1736589391.0328424;38100;0,004305772
1736589391.9817038;38200;0,000777993
1736589393.1757975;38300;0,000888507
1736589394.428931;38400;0,000928847
1736589395.3537738;38500;0,000110771
1736589396.0944502;38600;0,002092913
1736589396.9362154;38700;0,000612816
1736589397.6138322;38800;0,000155547
1736589398.7959106;38900;0,000158858
1736589399.486538;39000;0,000189945
1736589400.185174;39100;0,000201669
1736589402.0668876;39200;0,002084846
1736589403.0497901;39300;0,000460005
1736589404.4780836;39400;0,001812101
1736589405.397938;39500;0,000630612
1736589406.550997;39600;0,000518945
1736589407.3937554;39700;0,001417296
1736589408.606862;39800;0,00183897
1736589409.8129575;39900;0,000218506
1736589410.6897612;40000;0,000311084
1736589411.507501;40100;0,000752459
1736589412.4533632;40200;6,76E-05
1736589413.498315;40300;0,000178517
1736589414.951648;40400;0,000136469
1736589415.8864915;40500;0,001007074
1736589416.9704776;40600;0,000868355
1736589417.8422785;40700;0,000427249
1736589419.4597437;40800;0,001734301
1736589420.4996903;40900;0,000722424
1736589421.1663;41000;0,000556909
1736589422.212255;41100;4,82E-05
1736589424.0098898;41200;0,000457859
1736589425.3961504;41300;0,0006589
1736589425.9676704;41400;0,001726253
1736589426.9415574;41500;0,001079206
1736589427.8443813;41600;0,001038808
1736589428.6451123;41700;0,000625357
1736589429.7971592;41800;0,004666923
1736589430.750028;41900;0,000585811
1736589431.5897925;42000;0,002573243
1736589432.4055326;42100;0,000967933
1736589433.498529;42200;0,000935274
1736589434.4343853;42300;3,50E-05
1736589435.7285619;42400;0,000326674
1736589437.1298366;42500;0,000989144
1736589438.099728;42600;0,000780785
1736589439.881342;42700;0,000865126
1736589441.0944474;42800;0,000250281
1736589442.252502;42900;0,000554661
1736589443.159329;43000;0,001789903
1736589444.8028255;43100;6,10E-05
1736589446.033946;43200;0,001449942
1736589446.87371;43300;0,000360495
1736589447.8796258;43400;0,001135717
1736589449.2058363;43500;0,000403837
1736589450.065618;43600;0,00333944
1736589451.233683;43700;0,001062989
1736589452.4297695;43800;0,001308799
1736589454.387557;43900;0,000616087
1736589455.0531576;44000;0,001293086
1736589455.8809152;44100;0,000376828
1736589456.6636262;44200;0,000655312
1736589457.478367;44300;0,000651509
1736589458.4122183;44400;0,001271609
1736589460.031701;44500;0,000341015
1736589461.8393378;44600;0,000820895
1736589463.1835659;44700;0,000225078
1736589463.8611834;44800;0,001465476
1736589464.9992192;44900;4,71E-05
1736589466.4205105;45000;0,001161846
1736589468.7786605;45100;0,000230638
1736589469.4832988;45200;0,000379029
1736589470.2479959;45300;0,001180092
1736589471.566214;45400;0,000129307
1736589472.5821366;45500;0,000647731
1736589473.4108891;45600;0,001410388
1736589474.5849595;45700;0,000303125
1736589475.8951516;45800;0,001555245
1736589476.493698;45900;0,001670565
1736589477.3014357;46000;0,000864045
1736589478.466496;46100;0,000255811
1736589479.3392875;46200;0,000758009
1736589480.3351946;46300;0,000328956
1736589481.5052617;46400;0,000772808
1736589482.4160903;46500;0,00110651
1736589483.0176396;46600;0,000136922
1736589483.763317;46700;7,99E-05
1736589484.4509468;46800;0,001591573
1736589485.3437583;46900;5,28E-05
1736589486.3476703;47000;0,0006373
1736589488.456596;47100;0,000297498
1736589489.8048203;47200;0,000316901
1736589490.403365;47300;0,000192871
1736589491.7375796;47400;0,000238068
1736589492.4522307;47500;0,000279763
1736589493.9395845;47600;0,000385807
1736589495.0265768;47700;0,00034658
1736589496.7681673;47800;0,001502552
1736589498.339591;47900;0,007846319
1736589499.1953733;48000;0,00019602
1736589499.9020164;48100;0,001023423
1736589501.1111176;48200;0,000556943
1736589501.8738117;48300;0,000596001
1736589502.887735;48400;0,000299783
1736589503.9386911;48500;0,000291607
1736589504.8164902;48600;7,90E-05
1736589505.7553482;48700;9,47E-05
1736589506.4940174;48800;0,000659388
1736589507.2827363;48900;5,01E-05
1736589508.9132211;49000;0,002861292
1736589509.776006;49100;0,000713049
1736589511.0561783;49200;0,00068255
1736589511.7207792;49300;0,000527089
1736589512.885838;49400;0,000405951
1736589514.1730113;49500;0,001022851
1736589515.5252419;49600;0,001395466
1736589516.288942;49700;0,000233692
1736589517.6621892;49800;0,001250513
1736589518.6080492;49900;0,000764074
1736589519.772115;50000;9,23E-05
1736589521.001232;50100;0,000272689
1736589522.0081482;50200;0,000284185
1736589523.396411;50300;0,000814935
1736589524.3212533;50400;0,000374218
1736589525.858656;50500;0,000170945
1736589527.139823;50600;0,002462659
1736589528.0466533;50700;0,000267768
1736589529.2767656;50800;0,001160388
1736589530.3157144;50900;7,03E-05
1736589532.3115292;51000;0,006039238
1736589533.148293;51100;0,000658329
1736589534.3023868;51200;0,000243105
1736589535.407393;51300;0,00079583
1736589536.2261386;51400;0,000560374
1736589537.3741858;51500;0,000376872
1736589538.409453;51600;0,000366315
1736589539.316278;51700;0,001241922
1736589540.8276544;51800;0,000490137
1736589542.110823;51900;0,000746059
1736589543.7102802;52000;0,001415902
1736589544.4039128;52100;0,000129792
1736589545.3507743;52200;0,000506731
1736589546.4617863;52300;0,000357771
1736589547.6338532;52400;0,000310736
1736589548.4876313;52500;0,000366714
1736589549.9739845;52600;0,00010055
1736589550.9308555;52700;0,000473703
1736589552.046872;52800;0,001274426
1736589554.3880048;52900;0,000110484
1736589555.637145;53000;0,001548306
1736589556.5469742;53100;0,000375463
1736589558.3896527;53200;0,000340463
1736589559.9720929;53300;0,001182557
1736589561.0740974;53400;0,000367625
1736589562.359267;53500;0,001003054
1736589563.3882048;53600;0,000344541
1736589564.1559038;53700;0,000207639
1736589565.1107733;53800;0,00115641
1736589565.9165065;53900;0,00061891
1736589567.4318871;54000;0,001317234
1736589568.7981308;54100;0,00068151
1736589570.3655584;54200;0,00049723
1736589571.6727502;54300;0,000546101
1736589573.073024;54400;0,000445067
1736589574.2901325;54500;0,000342793
1736589575.2419999;54600;0,000103819
1736589576.4260771;54700;0,000157697
1736589577.4740322;54800;0,000291184
1736589579.7531092;54900;0,000186024
1736589580.9882343;55000;0,000822915
1736589581.7359138;55100;0,000300431
1736589582.8479264;55200;0,000268971
1736589584.351295;55300;0,000202367
1736589585.562399;55400;0,001233118
1736589586.8025277;55500;0,000189965
1736589588.022638;55600;0,000793898
1736589588.73729;55700;0,000451985
1736589589.5119963;55800;0,000398525
1736589590.248666;55900;0,000117021
1736589591.2395685;56000;0,0004437
1736589592.3956215;56100;0,000290439
1736589593.8539495;56200;0,000225902
1736589595.4323869;56300;0,000187928
1736589597.0698788;56400;4,75E-05
1736589598.5262048;56500;6,94E-05
1736589599.224841;56600;0,000686519
1736589600.3698852;56700;5,88E-05
1736589601.6190205;56800;9,34E-05
1736589603.8120174;56900;0,002656816
1736589604.972075;57000;0,000411594
1736589606.3102925;57100;0,000192226
1736589607.6004682;57200;0,000170406
1736589608.811571;57300;0,000292055
1736589610.2228563;57400;0,000606685
1736589610.8744495;57500;0,000487197
1736589612.2567086;57600;0,001279078
1736589613.3547094;57700;0,00087757
1736589614.12441;57800;0,000253833
1736589614.8831007;57900;0,000606719
1736589615.8229568;58000;0,001308091
1736589617.1371527;58100;0,000442754
1736589618.102032;58200;0,000635269
1736589619.3001223;58300;2,46E-05
1736589620.6663685;58400;0,000923745
1736589622.439982;58500;0,002885112
1736589623.374834;58600;0,000704651
1736589624.634981;58700;1,40E-05
1736589626.2464483;58800;0,0003328
1736589627.4715645;58900;0,001647965
1736589628.6776626;59000;0,001281763
1736589629.8857625;59100;0,000272932
1736589630.8616517;59200;0,000259795
1736589631.6343555;59300;0,000481303
1736589633.051648;59400;0,000440628
1736589634.2107012;59500;0,000241781
1736589635.7591114;59600;0,002899071
1736589636.4597504;59700;0,00046233
1736589637.652836;59800;0,000138034
1736589638.599699;59900;0,00117591
1736589639.1471977;60000;6,22E-05
1736589640.1911483;60100;0,00026371
1736589640.8787746;60200;0,000947728
1736589641.6865094;60300;0,000292026
1736589642.4832356;60400;0,001108518
1736589643.5331914;60500;0,000127393
1736589645.080601;60600;4,80E-05
1736589646.2576725;60700;0,000234895
1736589648.389615;60800;0,001912907
1736589649.270417;60900;0,000209596
1736589650.3083625;61000;0,001060792
1736589651.2241955;61100;0,000267696
1736589652.1650522;61200;0,000291436
1736589653.7885306;61300;0,000176059
1736589655.1207447;61400;0,000217453
1736589656.5480444;61500;0,000959022
1736589657.536945;61600;0,00128157
1736589658.3877206;61700;0,000356302
1736589659.1714327;61800;0,000450025
1736589660.0412254;61900;0,00065085
1736589661.7417753;62000;7,75E-05
1736589663.1220305;62100;0,00032689
1736589664.292097;62200;0,000579241
1736589665.4131174;62300;0,000440438
1736589666.230862;62400;3,73E-05
1736589667.8823664;62500;9,72E-05
1736589668.5359616;62600;0,00019575
1736589670.105391;62700;0,000381635
1736589671.0672662;62800;0,000655241
1736589672.5215921;62900;0,000262232
1736589673.9809208;63000;0,000370463
1736589675.192024;63100;0,000313625
1736589676.4131348;63200;0,000867854
1736589677.7143207;63300;0,000369245
1736589678.9204183;63400;9,94E-05
1736589680.0364344;63500;0,000224734
1736589681.1854813;63600;0,000275882
1736589682.1783857;63700;3,45E-05
1736589683.4395344;63800;0,000378765
1736589685.0099645;63900;0,000242505
1736589685.6895835;64000;0,000520956
1736589687.0858555;64100;0,000516232
1736589688.2939558;64200;0,000622088
1736589689.1897707;64300;0,000318378
1736589689.8183436;64400;0,000198938
1736589690.664113;64500;3,81E-05
1736589691.6029682;64600;0,000421908
1736589694.437554;64700;0,00033071
1736589696.0860555;64800;0,000640621
1736589697.0549366;64900;0,000648935
1736589698.0878787;65000;0,000123798
1736589699.1088085;65100;0,000388219
1736589700.1297371;65200;0,000351813
1736589700.8423862;65300;0,001183879
1736589702.13156;65400;0,00039339
1736589703.6669588;65500;0,001418851
1736589704.6778796;65600;0,000226967
1736589705.6507654;65700;0,000366626
1736589706.4134598;65800;0,000288576
1736589707.3843443;65900;0,000415009
1736589708.3672397;66000;0,000303523
1736589709.386167;66100;0,000153395
1736589710.1278436;66200;0,000137764
1736589711.4830766;66300;2,91E-05
1736589712.5400388;66400;0,000183314
1736589713.5709794;66500;3,83E-05
1736589714.239587;66600;0,000246248
1736589715.8840883;66700;0,001802593
1736589717.212297;66800;0,000261519
1736589718.6405985;66900;6,34E-05
1736589719.738598;67000;6,91E-05
1736589720.8796375;67100;0,000416663
1736589721.781459;67200;0,000444998
1736589723.3999324;67300;0,000686786
1736589724.2997513;67400;0,000180427
1736589725.2135847;67500;0,000756582
1736589726.14243;67600;7,70E-05
1736589726.6779177;67700;0,000155126
1736589727.8069458;67800;0,000759356
1736589729.1942086;67900;6,41E-05
1736589730.253174;68000;0,000343285
1736589731.3011281;68100;0,00024946
1736589732.5452614;68200;0,000471093
1736589733.728338;68300;0,001936317
1736589734.9614627;68400;0,00057085
1736589736.6029565;68500;0,00012616
1736589738.3075097;68600;0,00040193
1736589739.2353542;68700;0,001662878
1736589740.5105152;68800;0,001446811
1736589741.5134277;68900;0,000656441
1736589742.7985983;69000;0,00068062
1736589743.5592918;69100;0,001071207
1736589744.8824964;69200;0,000627985
1736589745.9414604;69300;0,000346653
1736589747.0915077;69400;0,001873386
1736589748.1054318;69500;0,000269273
1736589749.1303647;69600;0,000207516
1736589749.9991562;69700;0,000404388
1736589751.4674933;69800;5,58E-05
1736589752.888787;69900;0,000453128
1736589754.2680435;70000;0,000838384
1736589755.2519395;70100;0,000299549
1736589756.34994;70200;0,001293106
1736589757.2387495;70300;7,80E-06
1736589758.3687782;70400;4,16E-06
1736589759.1995344;70500;0,000989038
1736589761.310458;70600;0,002923212
1736589762.1101856;70700;0,000376984
1736589762.983981;70800;0,000210128
1736589764.2311163;70900;9,19E-05
1736589765.224021;71000;0,000158927
1736589766.2459517;71100;0,000249153
1736589767.44104;71200;0,000443788
1736589769.2166586;71300;8,70E-05
1736589770.832129;71400;0,001046341
1736589771.8430483;71500;0,000205799
1736589773.4294934;71600;7,71E-05
1736589774.440414;71700;0,000442925
1736589775.6675334;71800;9,15E-05
1736589776.5293167;71900;0,000163202
1736589777.3020203;72000;7,92E-05
1736589778.381003;72100;0,000287642
1736589779.639149;72200;2,13E-05
1736589780.9643555;72300;2,41E-05
1736589782.0823736;72400;7,55E-05
1736589784.3624504;72500;0,000282055
1736589785.1191394;72600;0,000178373
1736589785.933881;72700;0,000132885
1736589786.6585417;72800;0,000185486
1736589787.4692805;72900;0,001033674
1736589788.4531758;73000;0,000160936
1736589789.7503579;73100;0,000515894
1736589791.3588219;73200;0,000165879
1736589792.5248835;73300;0,000260833
1736589793.3516374;73400;0,000348892
1736589794.1914012;73500;3,74E-05
1736589795.0451787;73600;0,000492576
1736589796.2933161;73700;0,00016683
1736589797.394318;73800;0,00084167
1736589798.8466413;73900;0,000157715
1736589799.9716654;74000;0,000237809
1736589801.2928686;74100;0,000116952
1736589802.4178934;74200;0,000132155
1736589803.4498332;74300;0,000392489
1736589804.4587514;74400;1,51E-05
1736589806.5876906;74500;0,000153719
1736589807.8998861;74600;0,000300117
1736589808.87077;74700;0,000884931
1736589809.7655842;74800;0,000211893
1736589811.123821;74900;0,001452145
1736589812.5851533;75000;0,000304728
1736589813.9353821;75100;0,000631669
1736589815.197532;75200;0,000104591
1736589816.7269247;75300;0,001026556
1736589817.850948;75400;0,000116491
1736589819.5194678;75500;0,000116571
1736589821.4552305;75600;0,000283313
1736589822.485168;75700;0,000299338
1736589823.6222038;75800;0,000306768
1736589825.1335807;75900;7,85E-05
1736589825.9533272;76000;0,000313912
1736589826.7950933;76100;7,19E-06
1736589827.4456863;76200;0,000118081
1736589828.9820857;76300;0,000346694
1736589830.312296;76400;0,000109246
1736589832.2080228;76500;0,000677797
1736589833.1719007;76600;0,00016159
1736589834.2168517;76700;0,000123242
1736589835.5350533;76800;0,000135889
1736589836.3588037;76900;0,000448187
1736589837.3066666;77000;0,002495147
1736589838.300571;77100;0,000560757
1736589838.8650856;77200;0,000697021
1736589840.093204;77300;0,000494825
1736589841.366363;77400;0,000292578
1736589842.3752832;77500;0,000248322
